neuron_id,role,label,source_locator,source_artifact,id_namespace,dataset_id,verification_status,notes
720575940624963786,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940630233916,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940637568838,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940638202345,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940617000768,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940630797113,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940632889389,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940621754367,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940621502051,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940640649691,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940639332736,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940616885538,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940639198653,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940620900446,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940617937543,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940632425919,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940633143833,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940612670570,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940628853239,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940629176663,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
720575940611875570,activation_input,labellar_sugar_sensing_grn,https://github.com/philshiu/Drosophila_brain_model/blob/main/example.ipynb,example.ipynb,flywire_root_id,flywire-630-2023-03-23,public_source_checked,ID is listed in the upstream sugar-sensing input set; no driver-line specificity is inferred.
