"condition_id","root_id","edge_id","cell_type","cell_class","driver_scope","anatomy_scope","connectome_name","connectome_version","source_url","query_string","query_date","exported_by","source_sha256","notes"
"parkin","720575940608166748","","","DAN","Parkin literature TH-GAL4 context; imported scope is DAN/top_nt=dopamine; TH/ple equivalence not asserted","central","FlyWire FAFB","v783 (annotations release v2.1.0)","https://raw.githubusercontent.com/flyconnectome/flywire_annotations/v2.1.0/supplemental_files/Supplemental_file1_neuron_annotations.tsv","tag=v2.1.0; top_nt=dopamine; cell_class=DAN","2026-09-07","Codex agent; local reproducible filter","30be6c73975a70c56d930e27911f36455d3886e15abf383b78edd2a5d679e0b6","Filtered from official FlyWire annotations release v2.1.0. This is a dopaminergic DAN class-level export for review only; it is not a Parkin gene-specific mapping."
"parkin","720575940617466395","","","DAN","Parkin literature TH-GAL4 context; imported scope is DAN/top_nt=dopamine; TH/ple equivalence not asserted","central","FlyWire FAFB","v783 (annotations release v2.1.0)","https://raw.githubusercontent.com/flyconnectome/flywire_annotations/v2.1.0/supplemental_files/Supplemental_file1_neuron_annotations.tsv","tag=v2.1.0; top_nt=dopamine; cell_class=DAN","2026-09-07","Codex agent; local reproducible filter","30be6c73975a70c56d930e27911f36455d3886e15abf383b78edd2a5d679e0b6","Filtered from official FlyWire annotations release v2.1.0. This is a dopaminergic DAN class-level export for review only; it is not a Parkin gene-specific mapping."
"parkin","720575940621136519","","","DAN","Parkin literature TH-GAL4 context; imported scope is DAN/top_nt=dopamine; TH/ple equivalence not asserted","central","FlyWire FAFB","v783 (annotations release v2.1.0)","https://raw.githubusercontent.com/flyconnectome/flywire_annotations/v2.1.0/supplemental_files/Supplemental_file1_neuron_annotations.tsv","tag=v2.1.0; top_nt=dopamine; cell_class=DAN","2026-09-07","Codex agent; local reproducible filter","30be6c73975a70c56d930e27911f36455d3886e15abf383b78edd2a5d679e0b6","Filtered from official FlyWire annotations release v2.1.0. This is a dopaminergic DAN class-level export for review only; it is not a Parkin gene-specific mapping."
"parkin","720575940620681837","","","DAN","Parkin literature TH-GAL4 context; imported scope is DAN/top_nt=dopamine; TH/ple equivalence not asserted","central","FlyWire FAFB","v783 (annotations release v2.1.0)","https://raw.githubusercontent.com/flyconnectome/flywire_annotations/v2.1.0/supplemental_files/Supplemental_file1_neuron_annotations.tsv","tag=v2.1.0; top_nt=dopamine; cell_class=DAN","2026-09-07","Codex agent; local reproducible filter","30be6c73975a70c56d930e27911f36455d3886e15abf383b78edd2a5d679e0b6","Filtered from official FlyWire annotations release v2.1.0. This is a dopaminergic DAN class-level export for review only; it is not a Parkin gene-specific mapping."
"parkin","720575940609414468","","","DAN","Parkin literature TH-GAL4 context; imported scope is DAN/top_nt=dopamine; TH/ple equivalence not asserted","central","FlyWire FAFB","v783 (annotations release v2.1.0)","https://raw.githubusercontent.com/flyconnectome/flywire_annotations/v2.1.0/supplemental_files/Supplemental_file1_neuron_annotations.tsv","tag=v2.1.0; top_nt=dopamine; cell_class=DAN","2026-09-07","Codex agent; local reproducible filter","30be6c73975a70c56d930e27911f36455d3886e15abf383b78edd2a5d679e0b6","Filtered from official FlyWire annotations release v2.1.0. This is a dopaminergic DAN class-level export for review only; it is not a Parkin gene-specific mapping."
"parkin","720575940633688476","","","DAN","Parkin literature TH-GAL4 context; imported scope is DAN/top_nt=dopamine; TH/ple equivalence not asserted","central","FlyWire FAFB","v783 (annotations release v2.1.0)","https://raw.githubusercontent.com/flyconnectome/flywire_annotations/v2.1.0/supplemental_files/Supplemental_file1_neuron_annotations.tsv","tag=v2.1.0; top_nt=dopamine; cell_class=DAN","2026-09-07","Codex agent; local reproducible filter","30be6c73975a70c56d930e27911f36455d3886e15abf383b78edd2a5d679e0b6","Filtered from official FlyWire annotations release v2.1.0. This is a dopaminergic DAN class-level export for review only; it is not a Parkin gene-specific mapping."
"parkin","720575940630166267","","","DAN","Parkin literature TH-GAL4 context; imported scope is DAN/top_nt=dopamine; TH/ple equivalence not asserted","central","FlyWire FAFB","v783 (annotations release v2.1.0)","https://raw.githubusercontent.com/flyconnectome/flywire_annotations/v2.1.0/supplemental_files/Supplemental_file1_neuron_annotations.tsv","tag=v2.1.0; top_nt=dopamine; cell_class=DAN","2026-09-07","Codex agent; local reproducible filter","30be6c73975a70c56d930e27911f36455d3886e15abf383b78edd2a5d679e0b6","Filtered from official FlyWire annotations release v2.1.0. This is a dopaminergic DAN class-level export for review only; it is not a Parkin gene-specific mapping."
"parkin","720575940636659886","","","DAN","Parkin literature TH-GAL4 context; imported scope is DAN/top_nt=dopamine; TH/ple equivalence not asserted","central","FlyWire FAFB","v783 (annotations release v2.1.0)","https://raw.githubusercontent.com/flyconnectome/flywire_annotations/v2.1.0/supplemental_files/Supplemental_file1_neuron_annotations.tsv","tag=v2.1.0; top_nt=dopamine; cell_class=DAN","2026-09-07","Codex agent; local reproducible filter","30be6c73975a70c56d930e27911f36455d3886e15abf383b78edd2a5d679e0b6","Filtered from official FlyWire annotations release v2.1.0. This is a dopaminergic DAN class-level export for review only; it is not a Parkin gene-specific mapping."
"parkin","720575940624661031","","","DAN","Parkin literature TH-GAL4 context; imported scope is DAN/top_nt=dopamine; TH/ple equivalence not asserted","central","FlyWire FAFB","v783 (annotations release v2.1.0)","https://raw.githubusercontent.com/flyconnectome/flywire_annotations/v2.1.0/supplemental_files/Supplemental_file1_neuron_annotations.tsv","tag=v2.1.0; top_nt=dopamine; cell_class=DAN","2026-09-07","Codex agent; local reproducible filter","30be6c73975a70c56d930e27911f36455d3886e15abf383b78edd2a5d679e0b6","Filtered from official FlyWire annotations release v2.1.0. This is a dopaminergic DAN class-level export for review only; it is not a Parkin gene-specific mapping."
"parkin","720575940618910075","","","DAN","Parkin literature TH-GAL4 context; imported scope is DAN/top_nt=dopamine; TH/ple equivalence not asserted","central","FlyWire FAFB","v783 (annotations release v2.1.0)","https://raw.githubusercontent.com/flyconnectome/flywire_annotations/v2.1.0/supplemental_files/Supplemental_file1_neuron_annotations.tsv","tag=v2.1.0; top_nt=dopamine; cell_class=DAN","2026-09-07","Codex agent; local reproducible filter","30be6c73975a70c56d930e27911f36455d3886e15abf383b78edd2a5d679e0b6","Filtered from official FlyWire annotations release v2.1.0. This is a dopaminergic DAN class-level export for review only; it is not a Parkin gene-specific mapping."
